,school,count
350,奥克兰大学,1
351,澳门理工学院,1
352,四川省舞蹈学院曲艺专业,1
353,西北民族学院,1
354,东方商专观光科,1
355,天津市耀华中学,1
356,北京大学；纽约大学,1
357,台湾台北国立中兴大学,1
358,中央戏剧学院2002级表演系,1
359,大凉山民族师范,1
360,北京舞蹈学院,1
361,关东女子高校,1
362,山东工艺美术学院,1
363,东吴大学中国文学系,1
364,韩国建国大学(语言),1
365,香港培正中学,1
366,中国传媒大学南广学院,1
367,北京大学研究生院,1
368,福建师范大学,1
369,台湾国立艺术专科学校,1
370,贵州师范大学音乐系,1
371,四川舞蹈学校自贡分校（四川理工）,1
372,四川省艺术学院,1
373,Seneca College（圣力嘉学院）,1
374,致理商专商业文书科,1
375,武汉音乐学院（本科）,1
376,北京电影学院85届明星班,1
377,吉隆坡美术学院,1
378,格里昂酒店管理学院,1
379,加拿大拉塞尔学院,1
380,上海戏剧学院03级表演系本科,1
381,上海大学悉尼工商学院,1
382,广西中医学院,1
383,国立政治大学外交系毕业,1
384,广东星海音乐学院,1
385,武汉音乐学院演艺学院通俗演唱与编导专业,1
386,南京林业大学,1
387,北京电影学院99级表演系本科,1
388,安大略省美术学院,1
389,四川省艺术学校,1
390,香港大学文学院,1
391,陕西师范大学音乐学院,1
392,四川西华大学&四川音乐学院,1
393,北京戏曲学院,1
394,吉林大学,1
395,鞍山市68中学,1
396,中国人民大学,1
397,武汉大学,1
398,台北大学应用英语专业（就读中）,1
399,台北市立松山高级商业家事职业学校广告设计科,1
400,中兴高中,1
401,新北市立林口国民中学,1
402,沈阳师范大学戏剧艺术学院表演系,1
403,中央党校铁道分校经济管理学院,1
404,中国戏曲学院表演系,1
405,上海音乐学院附中,1
406,内蒙古影视表演艺术学校影视表演,1
407,台湾花莲高农森林科,1
408,重庆三峡服装艺术学校,1
409,辽宁大学,1
410,江苏师范大学声乐专业（2008级）,1
411,哈尔滨外国语学院06-5班,1
412,吉林艺术学院,1
413,Kings Way Princeton England,1
414,美国南加州大学,1
415,国立杭州西湖艺术院,1
416,新北庄敬高职,1
417,上海戏剧学院96级表演系本科,1
418,香港民生书院,1
419,武汉传媒学院表演系本科,1
420,武汉城建学院,1
421,圣玛加利女书院,1
422,北京月坛旅游学院日语专业,1
423,广州市中山大学,1
424,国际关系学院法国文学专业,1
425,高雄市立中正高工,1
426,加拿大维多利亚大学,1
427,广西师范大学,1
428,国立高雄大学资讯管理学系,1
429,高职服装科,1
430,湖北工业大学,1
431,芝加哥大学,1
432,香港无线电视台训练班第11期,1
433,青春美国际艺术学校,1
434,北京民族大学附属中学,1
435,江苏省戏剧学校,1
436,四川音乐学院（就读中）,1
437,韩国外国人学校,1
438,四川师范大学电影电视学院（今四川电影电视学院）,1
439,台湾中山大学文学院音乐系99级,1
440,西安工程技师学院,1
441,四川音乐学院附属中学,1
442,多伦多大学,1
443,台湾政治大学,1
444,河南科技大学,1
445,贵州民族学院,1
446,成都大学艺术学院影视表演专业,1
447,四川师范大学音乐学院,1
448,伯克利音乐学院（就读）,1
449,德州大学奥斯汀心理系,1
450,海口琼台师范学院,1
451,John Casablancas Institute,1
452,北京中央音乐学院日本东京艺术大学,1
453,江南大学,1
454,中央民族大学音乐学院,1
455,中国戏曲学校,1
456,星海音乐学院流行音乐演唱系,1
457,杭州大学成人教育学院,1
458,卡普兰诺大学,1
459,四川大学,1
460,上海音乐学院,1
461,河南大学，中国传媒大学,1
462,扬州市戏剧学校,1
463,沙田工业学院时装设计系,1
464,西安音乐学院,1
465,清华大学经济管理学院研究生,1
466,上海戏剧学院表演系本科,1
467,基隆市培德工业家事职业学校,1
468,大连外国语（本科）,1
469,天津音乐学院,1
470,现代音乐学院,1
471,齐齐哈尔师范学院,1
472,中国文化大学,1
473,内江师范学院音乐系,1
474,冈山国中,1
475,辽宁省师范大学戏剧艺术学院,1
476,台湾文化大学文学系,1
477,南通师专,1
478,广东女子职业技术学院,1
479,私立嘉南药理专科学校,1
480,北京戏曲学院（花旦）中央戏剧学院（表演系）,1
481,齐齐哈尔高等师范专科学校,1
482,小学：圣德勒撒;中学：迦密中学,1
483,台湾复兴美工广设科,1
484,美国加利福尼亚洲大学,1
485,北京市育英学校,1
486,费城柯蒂斯音乐学院,1
487,北京师范学院,1
488,伦敦大学,1
489,上海越剧院,1
490,私立再兴中学高二休学,1
491,比利时布鲁塞尔皇家音乐学院,1
492,利兹大学纺织管理系一年级,1
493,星海音乐学院,1
494,解放军南京外语学院,1
495,沈阳音乐学院南校区声乐教育系,1
496,湖北医学院临床医学系,1
497,协和高中美工科,1
498,德克萨斯州大学奥斯汀分校,1
499,臺灣亞東技術學院,1
500,阿坝师范学院·中文系,1
501,南京大学,1
502,慈幼中小学,1
503,遵义市第三中学,1
504,可立中学，第十期无线艺员训练班,1
505,南通大学,1
506,成都市桐梓林小学,1
507,香港中文大学崇“基”学院,1
508,中央民族音乐学院,1
509,集美大学诚毅学院,1
510,台北艺术大学戏剧系,1
511,蚌埠五中,1
512,中央戏剧学院表演系本科96班,1
513,北京大学外文系日本语专业,1
514,广西艺术学院 四川音乐学院,1
515,现就读于爱尔兰香侬酒店管理学院,1
516,康宁护专,1
517,国光艺校音乐科,1
518,华中科技大学,1
519,清华大学电子工程系,1
520,台湾师大附中,1
521,北京电影学院表演系(2001级),1
522,辽宁阜新戏校,1
523,乌克兰国立柴科夫斯基音乐学院,1
524,中国传媒大学南广学院播音主持专业（就读中）,1
525,黑龙江省艺术学校,1
526,中国传媒大学,1
527,上海戏剧学院电视艺术系,1
528,西安外国语大学西影影视传媒学院,1
529,浙江艺术学校,1
530,马尔康师范学校,1
531,沈阳音乐学院,1
532,香港大学,1
533,邓肇坚维多利亚官立中学,1
534,杭州师范大学,1
535,台湾交通大学传播研究所（硕士）,1
536,嘉义市神州高中补校,1
537,陕西理工学院机械系,1
538,英国皇家音乐学院,1
539,开南大学,1
540,美国旧金山艺术学院,1
541,广西华侨学校,1
542,台湾大学外文系肄业,1
543,香港理工大学,1
544,玫瑰岗学校,1
545,天津汇文中学,1
546,星海音乐学院流行音乐系通俗演唱专业,1
547,台湾辅仁大学2003届英文系,1
548,国立台湾艺术大学音乐系,1
549,云南艺术学院,1
550,美国洛杉矶音乐学院,1
551,上海大学影视学院,1
552,湖南省湘潭职业技术学院,1
553,北京电影学院表演系本科2000级,1
554,北京中央民族大学舞蹈表演系98级,1
555,台湾世新大学传播系,1
556,北京化工大学,1
557,国立云林科技大学,1
558,国立大学,1
559,安徽黄梅戏二团,1
560,澳洲皇家墨尔本理工大学,1
561,师范大学,1
562,中国美院国画人物专业,1
563,中央音乐学院(作曲系),1
564,香港时装设计学院时装设计专业,1
565,国立台湾大学,1
566,重庆师范大学传媒学院,1
567,安徽广播电视大学,1
568,北京电影学院2003级高职学院表演系,1
569,北京电影学院表演系配音专业,1
570,北京大学,1
571,旧金山州立大学,1
572,广东轻工职业技术学院艺术设计学院,1
573,纽约戏剧学院,1
574,西安中国画院,1
575,Long Beach City College,1
576,中国音乐学院作曲系音乐文学专业,1
577,英国皇家古典钢琴教学,1
578,中国音乐学院声歌系（硕士研究生）,1
579,香港耀中国际学校,1
580,新北市私立南强高级工商职业学校,1
581,香港演艺学院舞蹈系,1
582,马来西亚连曼莎拉吾达马学院,1
583,得克萨斯大学奥斯汀分校,1
584,哥伦比亚大学,1
585,解放军艺术学院 中国音乐学院,1
586,澳洲悉尼大学法律及经济学士,1
