,company,count
351,金牌大风,1
352,欢瑞世纪,1
353,东嘉娱乐公司,1
354,宇航之恋,1
355,歌邦娱乐（活动）,1
356,广州新月演艺经纪有限公司,1
357,宇桐非影音工作室,1
358,亚洲电视,1
359,盛世艺星,1
360,宇乐乐文化传媒,1
361,弯的音乐,1
362,有尬此玩乐工作室 Gutsmusic,1
363,梦响强音文化传播（上海）有限公司,1
364,大地唱片,1
365,北京黑龙音乐工作室,1
366,华纳兄弟娱乐公司,1
367,台湾荣星国际唱片公司,1
368,海山,1
369,灿星,1
370,滚石唱片,1
371,北京斯立文化传播有限公司,1
372,郁音绕梁(北京)文化传播有限公司,1
373,歌林唱片,1
374,北京长弓文化传媒有限公司,1
375,吴磊工作室,1
376,天晴娱乐有限公司,1
377,天地合娱乐,1
378,欢瑞世纪影视传媒股份有限公司,1
379,可米国际影视,1
380,壹心娱乐,1
381,黑金经纪,1
382,新力音乐,1
383,星葳娱乐（其他地区）,1
384,青海卫视,1
385,北京凸显凹印文化发展有限公司,1
386,音华娱乐传媒,1
387,东亚唱片,1
388,正大国际（均已解约）,1
389,中国评剧院,1
390,天艺娱乐明星经纪公司,1
391,合纵星光EQ唱片,1
392,烽云音乐,1
393,北京大音君和文化传媒有限公司,1
394,中国国家话剧院,1
395,北京美力星空文化传播有限公司,1
396,点时唱片,1
397,北京树音乐文化传播有限公司,1
398,新力 新艺宝,1
399,周冬雨工作室（泰洋川禾）,1
400,和序文化传播有限公司·黄龄工作室,1
401,华音鼎天,1
402,梦飞翔传媒集团,1
403,新艺宝唱片,1
404,唐古音乐工作室,1
405,酝星传媒,1
406,蒋劲夫工作室,1
407,福隆经纪公司,1
408,长长星瀚,1
409,宏途世纪,1
410,北京星工场音乐娱乐有限公司,1
411,北京仨仁文化传媒有限公司,1
412,白鲸音乐,1
413,北京市盈富通科技有限公司,1
414,源活娱乐,1
415,傲视翱翔,1
416,北京星路天下文化传媒有限公司,1
417,张翰工作室,1
418,北京京文公司,1
419,喜鹊娱乐,1
420,种子音乐有限公司,1
421,黄品源工作室,1
422,百娱传媒股份有限公司,1
423,英皇娱乐,1
424,可米影视制作,1
425,万万星传播股份有限公司,1
426,平英文化传播有限公司,1
427,音为乐趣,1
428,乐华娱乐(YUEHUA Entertainment),1
429,王嘉尔工作室,1
430,海纳百川娱乐有限公司,1
431,华纳唱片,1
432,东阳欢娱影视文化有限公司,1
433,河南郑州峰成文化传播有限公司,1
434,觉醒东方,1
435,北京金羽轩文化传播有限公司,1
436,东升音乐,1
437,汉森国际娱乐公司,1
438,索尼音乐娱乐公司,1
439,华谊兄弟传媒集团,1
440,泰洋川禾文化传媒,1
441,成都亿豆音乐文化发展有限公司,1
442,浙江卫视中国蓝,1
443,北京简单快乐文化发展有限公司,1
444,金莎音乐工作室,1
445,晓攀文化传媒（董事长）,1
446,江湖娱乐公司,1
447,北京德云社,1
448,萌样影视,1
449,广东孔雀廊,1
450,Neway Star,1
451,国语之星,1
452,东申未来,1
453,北京风向乐动数字音乐文化传播有限公司,1
454,拾点音乐,1
455,陈家瑛经理人公司,1
456,繁星浩月娱乐有限公司,1
457,北京市鲸梦文化传播有限公司,1
458,黄晓明工作室,1
459,北京Smile文化传媒,1
460,旗帜传媒,1
461,北京星光灿烂影视有限公司,1
462,美梦成真音乐,1
463,蔡依林工作室,1
464,小臭臭文化传媒有限公司,1
465,秦歌传媒,1
466,诚利千代娱乐,1
467,北京华谊兄弟音乐有限公司,1
468,寰亚传媒集团有限公司,1
469,北京麦尔文化,1
470,华谊兄弟文化经纪有限公司,1
471,龙縯国际影视制作有限公司,1
472,TVB,1
473,歌林,1
474,北京海润演艺经纪有限公司,1
475,未签约,1
476,中国华娱传媒,1
477,乐来乐好有限公司（2018—）,1
478,王瑞淇工作室,1
479,台湾华纳唱片,1
480,北京白金音乐,1
481,音华娱乐,1
482,北京唐嘉文化传播有限公司,1
483,中央军委政治工作部歌舞团,1
484,北京世纪乐音文化传媒,1
485,CJ E&M,1
486,麦尔文化,1
487,吉翔影坊影视传媒,1
488,黄渤工作室,1
489,朱梓骁工作室,1
490,上海越剧院,1
491,金翼龙唱片,1
492,北京一样音乐文化发展有限公司,1
493,北京黄色石头传媒有限公司,1
494,寰宇娱乐,1
495,北京心创兄弟文化传媒有限公司,1
496,艺扬文化,1
497,百娱时代（内地）,1
498,并且于2013年6月出道,1
499,星娱音乐,1
500,贾乃亮工作室,1
501,北京草台回声文化传播有限公司,1
502,相信音乐（唱片）,1
503,蓝白国际传播公司,1
504,毕节偶像星唱片文化传媒有限公司,1
505,相信音乐,1
506,当然娱乐,1
507,林心如工作室,1
508,洹国际文化,1
509,王祖蓝工作室,1
510,摩登天空——荔芙娱乐厂牌,1
511,北京金翼龙唱片公司,1
512,中国歌剧舞剧院,1
513,角豆唱片,1
514,北京BOX-M盒子音乐唱片,1
515,少城时代梁博工作室,1
516,音华娱乐文化传播,1
517,环球唱片,1
518,红馆经理人公司（2005至今）百娱时代（内地）,1
519,掌心音乐,1
520,英皇娱乐集团有限公司,1
521,树音乐,1
522,暗潮传媒,1
523,北京冒牌文化传播有限公司,1
524,JYP Entertainment,1
525,广州星线文化传播有限公司,1
526,嘉行杨幂工作室（唱片公司为少城时代）,1
527,北京达意美施文化传媒,1
528,天熹娱乐经纪股份有限公司,1
529,青风音乐,1
530,西藏自治区藏剧团,1
531,德云社,1
532,丰华唱片（台湾）百娱传媒股份有限公司（内地）,1
533,启韵传媒,1
534,飞图唱片,1
535,北京骏起菲阳文化传媒有限公司,1
536,上海文化经纪有限公司,1
537,苗圃工作室,1
538,大雨文化,1
539,星浪潮明星经纪公司,1
540,音华娱乐（内地经纪）,1
541,孔子雯工作室,1
542,飞碟唱片,1
543,广州星辉明星经纪公司,1
544,北京捷特联合,1
545,北京鸟人艺术推广有限责任公司,1
546,邓丽君文教基金会,1
547,格瑞迪斯文化传播(中国)有限公司,1
548,电视广播有限公司,1
549,极韵文化gogomusic,1
550,海纳百川,1
551,赞丹洛玛民族文化艺术公司,1
552,大地时代文化传播有限公司,1
553,太阳动力文化传播,1
554,金南玲工作室,1
555,宝丽金唱片,1
556,LMC Music内明斋音乐,1
557,段红工作室,1
558,赵薇工作室,1
559,广州可心文化传播有限公司,1
560,伟大文化(北京)有限公司,1
561,苏有朋工作室,1
562,柏霖时创,1
563,圣元文化,1
564,比高集团,1
565,北京普天同乐文化传媒有限公司,1
566,環球唱片（唱片）百娱传媒股份有限公司（演出）,1
567,星空动力,1
568,美国Tonos娱乐有限公司,1
569,威扬娱乐,1
570,风华秋实,1
571,生命树音乐创意工作室,1
572,鸣天文化 曾一鸣音乐工作室,1
573,中国爽乐坊唱片,1
574,华谊兄弟经纪阮经天工作室,1
575,ETM活力时代,1
576,心源和美影业(北京)有限公司,1
577,北京开心麻花文化发展有限公司,1
578,博纳星光文化传媒,1
579,北京时代峰峻文化艺术发展有限公司,1
580,北京歌邦文化传媒有限公司,1
581,北京彝人传奇影视文化工作室,1
582,海惟传媒,1
583,Pledis Entertainment,1
584,太合麦田,1
585,阿尔发音乐,1
586,北京尚义恩图文化发展有限公司,1
587,S.M.Entertainment,1
588,群星瑞智国际娱乐股份有限公司,1
589,北京太格印象文化传播有限公司,1
590,祖与占影像制作股份有限公司,1
591,黄贯中音乐工作室,1
592,菲瑞希新鲜音乐,1
593,擎天娱乐,1
594,众乐纪,1
595,广州东源时代文化传播有限公司,1
596,百娱经纪,1
597,齐浠儿工作室,1
598,青春你好,1
599,新湃传媒,1
600,星艺动力娱乐传媒,1
601,上海原际画文化传媒有限公司,1
602,北京欢唱丽音文化发展有限公司,1
603,哈雅盛世文化传播有限公司,1
604,燃艺星光（北京）文化传媒有限公司,1
605,欢娱影视,1
606,环球动音,1
607,张一山工作室,1
608,上海天娱传媒有限公司,1
609,华纳音乐公司,1
610,北京市龙天腾文化传媒,1
611,SONY BMG,1
612,北京龙舞天文化,1
613,杭州名星文化艺术传播有限公司,1
614,北京东方飞云国际影视公司,1
615,华谊兄弟,1
616,香港星皓娱乐（香港）百娱时代（内地）,1
617,万星传播股份有限公司,1
618,天津唐人影视股份有限公司,1
619,小马工作室,1
620,塑星文化传媒,1
621,凤凰艺能经纪公司,1
622,日光橘子娱乐文创有限公司,1
623,环球唱片（唱片）百娱时代（演出）,1
624,独立厂牌“十三月”,1
625,中国3D数码娱乐有限公司,1
626,张亮工作室,1
627,丰华唱片,1
628,星光诺亚,1
629,海润影视制作有限公司,1
630,BMG唱片公司,1
631,星辉公司,1
632,北京世纪乐音传媒,1
633,北京华影传媒有限公司,1
634,华一国际,1
635,星娱乐,1
636,2012年 组合训练新团体bingirls,1
637,宋茜工作室,1
638,李玲玉工作室,1
639,英皇娱乐集团,1
640,S.A.G舞台艺术工作组（北京博生兄弟文化传播有限公司,1
641,滚石国际音乐有限公司（百娱时代）,1
642,北京千和世纪文化传播有限公司,1
643,北京东方岚乐文化发展有限公司,1
644,泽东电影公司,1
645,上海星外星文化传播有限公司,1
646,本山传媒,1
647,易柏文化,1
648,成龙中国,1
649,唱剑文化,1
650,银河岁月有限公司,1
651,台视演艺经纪联盟,1
652,百娱传媒股份有限公司（演出）,1
653,蜂鸟唱片,1
654,海生音文化,1
655,张冬玲音乐工作室,1
656,惜时Precious-S,1
657,小美工作室（香港）,1
658,金星娱乐,1
659,智才娱乐,1
660,深圳市华音世纪文化传播有限公司,1
661,上腾娱乐,1
662,北京东雷文化传媒有限公司,1
663,上海丝芭文化传媒有限公司,1
664,东方斯卡拉·山河大业影视文化,1
665,王鸥工作室,1
666,北京鑫宝源影视投资有限公司（影视）,1
667,（个人）山水回声工作室,1
668,EMI（解散前）,1
669,北京石乐皓风文化传播有限公司,1
670,百娱娱乐,1
671,北京浩瀚天娇文化传媒有限公司,1
672,梦响强音,1
673,北京天浩盛世文化传播有限公司,1
674,四川美麟承恩文化传媒有限公司,1
675,任真美好有限公司（2018—）,1
676,GMM,1
677,“天籁村”唱片,1
678,Monstercat,1
679,许晴工作室,1
680,喻丝圆娱乐集团有限公司,1
681,志强文化,1
682,兵马司,1
683,十三月音乐独立厂牌,1
684,百纳星艺文化发展有限公司,1
685,香蕉娱乐,1
686,泰洋川禾,1
687,洹国际文化股份有限公司,1
688,百娱时代（演出）,1
689,传奇星娱乐,1
690,维高文化,1
691,匠心音乐文化传媒,1
692,华研国际音乐,1
693,司麦澳文化,1
694,坏兔子影业,1
695,合圆齐天国际文化发展（北京）有限公司,1
696,上海风华秋实文化传媒有限公司,1
697,星力天际（内地）红豆股份有限公司（台湾）,1
698,中锟传媒,1
699,千和世纪,1
700,狂喜文化,1
701,乐王唱片,1
702,吴亦凡工作室,1
703,北京黄色石头艺术工作室,1
704,北京蒂星创艺文化发展有限公司,1
705,伊诺娱乐,1
706,新疆皓峰文化传媒有限公司,1
707,万象凡音,1
708,索尼音乐,1
709,星乐娱乐集团,1
710,艾迪升传播事业有限公司,1
711,北京星特龙音乐工作室,1
712,君乐天禧,1
713,佘诗曼工作室,1
714,北京达意美施音乐科技有限公司,1
715,百代唱片,1
716,歌邦娱乐,1
717,环球唱片公司,1
718,北京娱动力文化传媒有限公司,1
719,JFJ Productions,1
720,Nettwerk,1
721,北京寰宇自由影视文化有限公司,1
722,上海剧合影视文化有限公司,1
723,薯片文化,1
724,左立工作室,1
725,福盛天成,1
726,湖南卫视有限公司,1
727,致力音乐,1
728,天娱传媒有限公司,1
729,芒果娱乐,1
730,北京缘份天空文化传播有限公司,1
731,北京稻草熊影视文化有限公司,1
732,周子娱乐,1
733,魔岩唱片,1
734,太歌文化,1
735,黄子韬Z.TAO工作室,1
736,无,1
737,Maya Entertainment Limited,1
738,亚神音乐娱乐有限公司,1
739,磁力音乐,1
740,群石国际,1
741,丰华唱片股份有限公司,1
742,竹书酷乐,1
743,音华娱乐（内地）,1
744,北京嘉娱帝华文化传媒公司,1
745,北京华顺艺恒文化传媒有限公司,1
746,北京开心麻花演艺经纪有限公司,1
747,锦绣万成,1
748,霍尔果斯十间影视传媒有限公司,1
749,北京橙天拾捌文化经纪有限公司,1
750,天狼音乐,1
751,北京德云社文化传播有限公司,1
752,中视新景象,1
753,深圳大龙文化传播有限公司,1
754,百慕文化,1
755,爱朵文化,1
756,萌扬文化,1
757,边江工作室,1
758,北京世纪博湾文化传媒有限公司,1
759,悦声无限,1
