school	count
国立音乐大学演奏学科声乐专修	1
同德女子大学	1
绍兴艺术学校	1
首尔艺术大学舞蹈学系	1
杭州电子科技大学信息工程学院	1
杭州师范大学生命与环境科学学院（就读中）	1
韩国安阳艺术高中	1
费利斯女学院大学	1
奥罗尔罗伯茨大学	1
德州大学奥斯汀心理系	1
东京都立日野高等学校	1
青山学院大学	1
师范大学	1
法国语言舞蹈学校	1
东德女子大学	1
仁爱女子大学	1
光仁中学（音乐艺术院）	1
仁川专门大学环境管理专业	1
澳门理工学院	1
埃尔金斯高中	1
山东农业大学	1
静冈县立吉田高等学校	1
北京现代音乐学院（就读）	1
日本解说表演研究所	1
沈阳音乐学院声乐系	1
哈拉哈达高中	1
新疆大学数学系	1
加利福尼亚大学洛杉矶分校	1
浙江艺术职业学院	1
台湾中山医学院	1
江西师范大学（音乐系本科班）	1
中央戏剧学院戏文系	1
东亚商学院，新加坡海蝶音乐森林	1
东京广播学院(东放学园)	1
逢甲大学中文系	1
耶鲁大学	1
宝冢音乐学校	1
水原大学电视剧电影学科	1
京畿大学大众媒体影象学部演技专攻转世宗cyber大学酒店管理专业	1
肇庆工贸学院	1
武汉音乐学院演艺学院通俗演唱与编导专业	1
American International School	1
昆明理工大学	1
建国大学艺术文化学院电影艺术学系	1
上海音乐学院附中	1
北京舞蹈学院歌舞班	1
济宁学院文化传播系	1
黑龙江外国语学院	1
首尔文化艺术大学	1
德州科技大学工程学院（退学）	1
匹兹堡大学	1
法国巴黎国立音乐学院	1
东信大学放送演艺系	1
吉林省戏曲学院	1
圣玛加利女书院	1
国际Digital大学休闲运动学科	1
天津音乐学院现代音乐系	1
加利福尼亚州立大学	1
青森县立青森东高等学校	1
武汉音乐学院民族声乐系	1
东京艺术大学作曲系	1
堀越高中毕业	1
空军长春飞行学院	1
高雄市立中正高工	1
莫斯科谢普金戏剧学院	1
北京迷笛音乐学院	1
东国大学研究生 主修戏剧科	1
中国传媒大学／香港浸会大学	1
环境工程专科毕业	1
青云大学	1
解放军南京外语学院	1
首尔艺术大学；成均馆大学 影像学系在读	1
仁荷大学话剧电影系	1
新加坡拉萨尔艺术学院	1
新德里Hansraj大学	1
北京第二外语学院	1
代代木动画学院	1
集美大学诚毅学院	1
Pro Fit声优养成所	1
山东齐鲁音乐学校	1
首尔艺术大学 国乐系	1
莱佛士学院	1
香港大学建筑系	1
延边大学	1
安徽广播电视大学	1
美国纽约城市大学	1
沙田官立中学	1
四川教育学院	1
百济大学表演影视学院	1
江苏师范大学音乐学院	1
贵阳医学院，第三军医大学	1
北京电影学院09表演系本科	1
北京音乐学院	1
吉林外国语大学	1
中央戏剧学院2002级表演系	1
波士顿Berklee音乐学院	1
景文科技大学	1
杭州音乐学院	1
韩国中央大学演剧电影科	1
园田学园女子短期大学部幼儿教育学科	1
哈尔滨艺术学院	1
北京师范大学-香港浸会大学联合国际学院	1
庆应义塾大学，日本东京文化服装学院	1
哈佛大学	1
文藻女子外语专科学校	1
香港圣若瑟书院	1
广西艺术学院	1
首尔爵士乐学院	1
荷兰海牙皇家音乐学院	1
小齐音乐学院	1
日本青二塾周日养成所	1
赤堀营养专门学校	1
Mausu Promotion附属养成所	1
上海市松江二中（高一退学）	1
Columbia High School （New Jersey）	1
湖南师范大学音乐系（肄业）	1
沈阳师范大学戏剧艺术学院表演系	1
栖霞律学院	1
东京艺术大学国乐专业	1
四川音乐学院流行歌舞系	1
乌克兰利沃夫国立音乐学院	1
川村中学校 高等学校	1
西南民族大学	1
共产党	1
鹿儿岛市天保山中学	1
基隆市培德工业家事职业学校	1
上海对外经贸大学	1
中央大学戏剧学学士	1
东京广播学院专门学校	1
新北市私立庄敬高职	1
天主教辅仁大学英文系	1
韩国汉阳大学作曲系	1
水原女子大学大众音乐系	1
美国华盛顿大学	1
日本大学文理学部	1
哥伦比亚大学	1
学校法人东放学园	1
Pro-Fit声优养成所	1
中大博学（在读）	1
底特律艺术高中	1
星海音乐学院流行音乐系	1
四川音乐学院古典作曲专业	1
美国长岛大学	1
美国罗格斯大学经济系	1
Goldsmith College	1
上海大学影视学院	1
格雷普韦恩高中	1
哈佛大学（网上课程）	1
驹泽学园女子高中	1
东京芸术大学作曲科	1
庆熙大学媒体信息学硕士	1
香港理工大学设计学院	1
崇右技术学院	1
Bowie State University	1
松竹音乐舞蹈学校	1
大凉山民族师范	1
日本青森县立三泽高等学校	1
美国乔治敦大学	1
新加坡南洋理工大学	1
北京化工大学	1
美国斯坦福大学	1
